AC_TYPEID,SSD_NAME,MANUFACTURER,LONG_NAME,SHORT_NAME,BEGIN_DATE,END_DATE
720,BOMBARDIER CS100,BOMBARDIER CS100,BOMBARDIER C SERIES CS100,CS100,01-01-17,9999
721,A321-200N,AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A321-200N,A321NEO,01-01-17,9999
722,A320-200N,AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A320-200N,A320NEO,01-01-17,9999
730,DOUGLAS DC-10-10,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-10-10,DC-10-10,01-01-90,9999
731,DOUGLAS DC-10-20,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-10-20,DC-10-20,01-01-90,9999
732,DOUGLAS DC-10-30,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-10-30,DC-10-30,01-01-90,9999
733,DOUGLAS DC-10-40,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-10-40,DC-10-40,01-01-90,9999
735,DOUGLAS DC-10-30CF,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-10-30CF,DC10-30F,01-01-90,9999
740,MD-11,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS MD-11,MD-11,01-01-90,9999
750,GULFSTREAM G650,GULFSTREAM,GULFSTREAM G650,G650,01-01-14,9999
755,EMBRAER LEGACY 600,EMBRAER,EMBRAER LEGACY 600,LEG-600,01-06-15,9999
760,L-1011-1/100/200,LOCKHEED,LOCKHEED L-1011-1/100/200,L-1011,01-01-90,9999
765,L-1011-500 TRISTAR,LOCKHEED,LOCKHEED L-1011-500 TRISTAR,L-1011,01-01-90,9999
770,FALCON 900,DASSAULT FALCON,DASSAULT FALCON 900/900EX,FA-900,01-10-02,9999
771,FALCON 50,DASSAULT FALCON,DASSAULT FALCON 50,FA-50,01-10-02,9999
774,DASSAULT FALCON ,DASSAULT FALCON,DASSAULT FALCON 2000,DA 2000,01-01-12,9999
775,DASSAULT FALCON 7X,DASSAULT FALCON,DASSAULT FALCON 7X,FALCON,01-10-08,9999
780,TUPOLEV 154,TUPOLEV,TUPOLEV TU-154,TU-154,01-01-90,9999
